# TSR = 4.0
# Kinetic energy = 1.192096e+01
# Angular velocity = 290.909
# Area = 3.801327e-02
# Average = -14.50%
# Standard Deviation = 0.11%
# 95% Confidence Interval = 0.05%
# moment_x[0] power[1] cp[2]
-6.030011e-03 -1.754185e+00 -1.471513e-01
-5.739153e-03 -1.669572e+00 -1.400535e-01
-5.737331e-03 -1.669042e+00 -1.400090e-01
-5.875412e-03 -1.709211e+00 -1.433786e-01
-6.007302e-03 -1.747579e+00 -1.465971e-01
-6.063321e-03 -1.763875e+00 -1.479642e-01
-6.048707e-03 -1.759624e+00 -1.476075e-01
-6.000653e-03 -1.745644e+00 -1.464349e-01
-5.952262e-03 -1.731567e+00 -1.452540e-01
-5.918565e-03 -1.721764e+00 -1.444317e-01
-5.900248e-03 -1.716436e+00 -1.439847e-01
-5.891198e-03 -1.713803e+00 -1.437638e-01
-5.886070e-03 -1.712311e+00 -1.436387e-01
-5.882949e-03 -1.711403e+00 -1.435625e-01
-5.882757e-03 -1.711347e+00 -1.435578e-01
-5.886454e-03 -1.712423e+00 -1.436481e-01
-5.894922e-03 -1.714886e+00 -1.438547e-01
-5.907745e-03 -1.718617e+00 -1.441676e-01
-5.923653e-03 -1.723244e+00 -1.445558e-01
-5.940650e-03 -1.728189e+00 -1.449706e-01
-5.957232e-03 -1.733013e+00 -1.453753e-01
-5.971305e-03 -1.737107e+00 -1.457187e-01
-5.982226e-03 -1.740284e+00 -1.459852e-01
-5.989141e-03 -1.742296e+00 -1.461539e-01
-5.991848e-03 -1.743083e+00 -1.462200e-01
-5.990073e-03 -1.742567e+00 -1.461767e-01
-5.984017e-03 -1.740805e+00 -1.460289e-01
-5.973913e-03 -1.737865e+00 -1.457823e-01
-5.960523e-03 -1.733970e+00 -1.454556e-01
-5.944938e-03 -1.729437e+00 -1.450753e-01
-5.928797e-03 -1.724741e+00 -1.446813e-01
-5.913625e-03 -1.720327e+00 -1.443111e-01
-5.901367e-03 -1.716761e+00 -1.440120e-01
-5.893201e-03 -1.714386e+00 -1.438127e-01
-5.890267e-03 -1.713532e+00 -1.437411e-01
-5.892617e-03 -1.714216e+00 -1.437984e-01
-5.900343e-03 -1.716463e+00 -1.439870e-01
-5.912780e-03 -1.720082e+00 -1.442905e-01
-5.929062e-03 -1.724818e+00 -1.446878e-01
-5.947787e-03 -1.730265e+00 -1.451448e-01
-5.967406e-03 -1.735973e+00 -1.456235e-01
-5.986178e-03 -1.741434e+00 -1.460816e-01
-6.002279e-03 -1.746118e+00 -1.464746e-01
-6.014193e-03 -1.749583e+00 -1.467653e-01
-6.020622e-03 -1.751454e+00 -1.469222e-01
-6.020658e-03 -1.751464e+00 -1.469231e-01
-6.014548e-03 -1.749687e+00 -1.467740e-01
-6.002501e-03 -1.746182e+00 -1.464800e-01
-5.984940e-03 -1.741073e+00 -1.460514e-01
-5.963546e-03 -1.734850e+00 -1.455294e-01
-5.940421e-03 -1.728122e+00 -1.449650e-01
-5.917412e-03 -1.721429e+00 -1.444035e-01
-5.896247e-03 -1.715272e+00 -1.438870e-01
-5.878618e-03 -1.710143e+00 -1.434568e-01
-5.866280e-03 -1.706554e+00 -1.431558e-01
