"Points:0","Points:1","Points:2","U:0","U:1","U:2"
0.22,0.20812,-0.1484,8.1301,0.013997,0.00097048
0.22,0.17912,-0.11969,8.1457,0.011757,0.011661
0.22,0.20804,-0.11991,8.1374,0.0080846,0.0080712
0.22,0.17943,-0.14824,8.1417,0.017031,0.0032851
0.22,0.14949,-0.14953,8.1475,0.022219,2.0139e-05
0.22,0.17818,-0.17821,8.1319,0.018045,-0.0068048
0.22,0.14963,-0.17804,8.1407,0.019917,-0.0098054
0.22,0.17801,-0.14967,8.1418,0.017371,0.0028455
0.22,0.16315,-0.11952,8.1548,0.01778,0.017418
0.22,0.17791,-0.14815,8.1423,0.017315,0.0035828
0.22,0.14939,-0.14803,8.1479,0.022165,0.00075017
0.22,0.1776,-0.1196,8.1462,0.012038,0.011957
0.22,0.20907,-0.17919,8.116,0.016056,-0.0077194
0.22,0.179,-0.17903,8.1316,0.018011,-0.0069544
0.22,0.20894,-0.14921,8.1297,0.014099,0.00072009
0.22,0.1788,-0.14903,8.1419,0.017273,0.003186
0.22,0.20884,-0.11928,8.1373,0.0078761,0.0081485
0.22,0.23906,-0.11943,8.1245,0.0094478,0.000197
0.22,0.23909,-0.14936,8.1131,0.014475,-0.0043158
0.22,0.19367,-0.089924,8.1488,0.001494,0.017128
0.22,0.20794,-0.11839,8.1377,0.0077393,0.0085532
0.22,0.17903,-0.11819,8.1461,0.011417,0.012137
0.22,0.20809,-0.089995,8.1398,0.0035297,0.0084372
0.22,0.17917,-0.20909,8.1159,0.015234,-0.013126
0.22,0.14918,-0.20896,8.1297,0.015282,-0.016015
0.22,0.14899,-0.17884,8.1407,0.019996,-0.010093
0.22,0.13376,-0.14933,8.1532,0.030448,-0.003934
0.22,0.1481,-0.17793,8.141,0.020201,-0.010054
0.22,0.11953,-0.17763,8.1458,0.019344,-0.018918
0.22,0.14798,-0.14943,8.1478,0.022498,-0.00022361
0.22,0.14875,-0.13398,8.1561,0.022861,0.010632
0.22,0.14886,-0.1489,8.1478,0.022474,0.00015776
0.22,0.13398,-0.13401,8.1646,0.036768,0.017125
0.22,0.13392,-0.1488,8.1535,0.030829,-0.0034558
0.22,0.13393,-0.11924,8.1726,0.031627,0.039592
0.22,0.14844,-0.11901,8.1603,0.019242,0.024848
0.22,0.14784,-0.10384,8.1738,0.01027,0.051501
0.22,0.1633,-0.11898,8.155,0.017693,0.017916
0.22,0.16303,-0.10393,8.1655,0.0042688,0.036353
0.22,0.17847,-0.11906,8.1461,0.01179,0.011976
0.22,0.17831,-0.10405,8.1521,0.0027222,0.020033
0.22,0.2092,-0.20922,8.1063,0.015173,-0.011517
0.22,0.23917,-0.17933,8.1051,0.015286,-0.0079981
0.22,0.23824,-0.11862,8.1248,0.0092427,0.00031844
0.22,0.20962,-0.090094,8.1391,0.0035432,0.0077734
0.22,0.23833,-0.090209,8.1314,0.003891,0.0031222
0.22,0.20949,-0.11849,8.1371,0.0077527,0.0078838
0.22,0.26921,-0.14948,8.1016,0.014543,-0.0058277
0.22,0.2692,-0.11955,8.1078,0.01292,-0.0035788
0.22,0.16284,-0.088894,8.1705,-0.01179,0.046163
0.22,0.17849,-0.089191,8.1549,-0.0059106,0.025202
0.22,0.17913,-0.074498,8.1648,-0.021829,0.031581
0.22,0.19385,-0.089391,8.149,0.0012275,0.017164
0.22,0.19413,-0.074554,8.1569,-0.011635,0.015671
0.22,0.20899,-0.089462,8.1395,0.0033789,0.008054
0.22,0.20915,-0.074587,8.1419,-0.0036049,0.0068026
0.22,0.11962,-0.17918,8.1453,0.018958,-0.01921
0.22,0.14836,-0.20814,8.1301,0.015319,-0.015989
0.22,0.11988,-0.20805,8.1373,0.010621,-0.021426
0.22,0.14819,-0.17947,8.1406,0.019816,-0.010345
0.22,0.17931,-0.23918,8.1049,0.013048,-0.015304
0.22,0.14934,-0.2391,8.1129,0.011505,-0.017541
0.22,0.11888,-0.16337,8.1532,0.025907,-0.016839
0.22,0.11897,-0.17852,8.1456,0.019098,-0.019382
0.22,0.10376,-0.16312,8.1632,0.027999,-0.031982
0.22,0.10393,-0.17837,8.1507,0.016788,-0.026865
0.22,0.11892,-0.1485,8.1582,0.031983,-0.0070556
0.22,0.10366,-0.14793,8.1727,0.044586,-0.028368
0.22,0.11924,-0.13393,8.1721,0.050454,0.013391
0.22,0.11665,-0.11669,8.1782,0.05234,0.044211
0.22,0.13043,-0.10107,8.1806,0.018539,0.062205
0.22,0.14216,-0.083776,8.1794,-0.011389,0.065107
0.22,0.20932,-0.23928,8.0969,0.013571,-0.013522
0.22,0.23926,-0.20934,8.097,0.014798,-0.010576
0.22,0.26926,-0.17945,8.095,0.014826,-0.0080357
0.22,0.2383,-0.06046,8.137,-5.714e-05,0.0022395
0.22,0.20944,-0.088755,8.1393,0.0031265,0.0079716
0.22,0.20959,-0.074588,8.1416,-0.0034615,0.0067896
0.22,0.23814,-0.088849,8.1316,0.0034673,0.0033236
0.22,0.26925,-0.089654,8.1133,0.010507,-0.0026904
0.22,0.23914,-0.089571,8.1314,0.0037991,0.0031317
0.22,0.29931,-0.11964,8.0963,0.013855,-0.004696
0.22,0.29932,-0.14958,8.0913,0.014342,-0.0062099
0.22,0.16421,-0.074469,8.1728,-0.027293,0.052545
0.22,0.17963,-0.059772,8.1682,-0.032829,0.026364
0.22,0.19439,-0.059733,8.1594,-0.022681,0.012895
0.22,0.20932,-0.059728,8.143,-0.0063211,0.004573
